title,salary,position,working_life,education,company_name,company_type,financing_info,staff_numbers,recruiter_name,recruiter_job,release_time
运营助理/专员,5k-10k,福州  ,经验不限,大专,哈啰出行,互联网,D轮及以上,1000-9999人,陈先生,经理,暂无信息
数据运营,5k-10k,福州  ,1年以内,大专,哈啰出行,互联网,D轮及以上,1000-9999人,陈先生,经理,暂无信息
车辆运营,5k-10k,福州  ,经验不限,大专,哈啰出行,互联网,D轮及以上,1000-9999人,陈先生,经理,暂无信息
高级车辆运营,8k-10k,石家庄  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,苏先生,助力车运营专家,暂无信息
车辆运营管理,4k-5k,石家庄  ,经验不限,本科,哈啰出行,互联网,D轮及以上,1000-9999人,苏先生,助力车运营专家,暂无信息
资深车辆运营,9k-10k,石家庄  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,苏先生,助力车运营专家,暂无信息
单车运维专员,3k-5k,重庆 沙坪坝区 大学城,1年以内,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,毛先生,高级车辆运营,暂无信息
车辆运营,5k-8k,温州  ,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,张先生,招聘者,暂无信息
车辆运营兼职,4k-6k,镇江  ,应届生,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,胡先生,招聘者,暂无信息
高级车辆运营,5k-7k,信阳  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,吴先生,车辆运营,暂无信息
运营管理,5k-8k,周口  ,1年以内,大专,哈啰出行,互联网,D轮及以上,1000-9999人,范先生,大区市场经理,暂无信息
运营,6k-8k,洛阳  ,1年以内,大专,哈啰出行,互联网,D轮及以上,1000-9999人,范先生,大区市场经理,暂无信息
车辆运营,5k-10k,温州  ,1年以内,大专,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,温州城市群经理,暂无信息
高级车辆运营,6k-11k,温州  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,温州城市群经理,暂无信息
高级运营经理,8k-13k,长沙  ,经验不限,本科,哈啰出行,互联网,D轮及以上,1000-9999人,陈先生,运营经理,暂无信息
数据运营,6k-9k,洛阳  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,桑先生,城市群电力主管,暂无信息
